source,destination,impr,clicks,group_urls,is_basis
/dallas/dallas-sporting-event-security,/dallas/jobs/dallas-sporting-event-security,18,0,2,True
/jobs/dallas-sporting-event-security,/dallas/jobs/dallas-sporting-event-security,3,0,2,False
/jobs/dallas-surveillance-security,/dallas/jobs/dallas-surveillance-security,2,0,2,True
/dallas/dallas-surveillance-security,/dallas/jobs/dallas-surveillance-security,1,0,2,False
/jobs/tsa-airport-security-dfw,/dallas/jobs/dallas-tsa-airport-security,133,0,2,True
/dallas/tsa-airport-security-dfw,/dallas/jobs/dallas-tsa-airport-security,7,0,2,False
/jobs/unarmed-security-dfw,/dallas/jobs/dallas-unarmed-security,269,0,4,True
/dallas/unarmed-security-dfw,/dallas/jobs/dallas-unarmed-security,14,0,4,False
/dallas/dallas-unarmed-security,/dallas/jobs/dallas-unarmed-security,7,0,4,False
/jobs/dallas-unarmed-security,/dallas/jobs/dallas-unarmed-security,5,0,4,False
/dallas/dallas-university-security,/dallas/jobs/dallas-university-security,1,0,1,True
/jobs/dallas-venue-security,/dallas/jobs/dallas-venue-security,3,0,1,True
/dallas/warehouse-security-jobs-dfw,/dallas/jobs/dallas-warehouse-security,145,0,4,True
/jobs/dallas-warehouse-security,/dallas/jobs/dallas-warehouse-security,58,0,4,False
/jobs/warehouse-security-jobs-dfw,/dallas/jobs/dallas-warehouse-security,47,0,4,False
/dallas/dallas-warehouse-security,/dallas/jobs/dallas-warehouse-security,5,0,4,False
/dallas/dallas-weekend-security-jobs,/dallas/jobs/dallas-weekend-security,7,0,2,True
/jobs/dallas-weekend-security-jobs,/dallas/jobs/dallas-weekend-security,1,0,2,False
/dallas/denton-security-jobs,/dallas/jobs/denton-security-jobs,35,0,2,True
/jobs/denton-security-jobs,/dallas/jobs/denton-security-jobs,2,0,2,False
/dallas/design-district-dallas-security,/dallas/jobs/design-district-security-jobs,2,0,1,True
/dallas/downtown-dallas-security,/dallas/jobs/downtown-dallas-security-jobs,2,0,2,True
/jobs/downtown-dallas-security,/dallas/jobs/downtown-dallas-security-jobs,2,0,2,False
/jobs/euless-security-jobs,/dallas/jobs/euless-security-jobs,112,5,2,True
/dallas/euless-security-jobs,/dallas/jobs/euless-security-jobs,15,0,2,False
/jobs/forney-security-jobs,/dallas/jobs/forney-security-jobs,41,2,2,True
/dallas/forney-security-jobs,/dallas/jobs/forney-security-jobs,15,0,2,False
/dallas/fort-worth-armed-security,/dallas/jobs/fort-worth-armed-security,32,0,2,True
/jobs/fort-worth-armed-security,/dallas/jobs/fort-worth-armed-security,13,0,2,False
/dallas/fort-worth-event-security,/dallas/jobs/fort-worth-event-security,11,1,2,True
/jobs/fort-worth-event-security,/dallas/jobs/fort-worth-event-security,1,0,2,False
/dallas/fort-worth-hospital-security,/dallas/jobs/fort-worth-hospital-security,13,0,1,True
/dallas/fort-worth-loss-prevention,/dallas/jobs/fort-worth-loss-prevention-security,10,0,1,True
