url,inbound,outbound,reachable,orphan
/dallas/tsa-airport-security-dfw,118,32,True,False
/dallas/unarmed-security-dfw,124,31,True,False
/dallas/uptown-dallas-security,6,31,True,False
/dallas/warehouse-security-jobs-dfw,12,32,True,False
/dashboard,0,2,False,True
/employers-tx,8,12,True,False
/houston,223,37,True,False
/houston/how-to-hire-security-houston,0,16,False,True
/houston/jobs/armed-security-houston,66,35,True,False
/houston/jobs/baytown-security-jobs,63,34,True,False
/houston/jobs/conroe-security-jobs,63,35,True,False
/houston/jobs/construction-security-houston,3,36,True,False
/houston/jobs/corporate-campus-security-houston,6,37,True,False
/houston/jobs/data-center-security-houston,1,37,True,False
/houston/jobs/downtown-houston-security,63,37,True,False
/houston/jobs/event-security-houston,66,35,True,False
/houston/jobs/friendswood-security-jobs,63,35,True,False
/houston/jobs/full-time-security-houston,61,35,True,False
/houston/jobs/galleria-houston-security-jobs,63,35,True,False
/houston/jobs/heights-houston-security-jobs,3,38,True,False
/houston/jobs/hospital-security-houston,62,37,True,False
/houston/jobs/hotel-security-houston,5,36,True,False
/houston/jobs/houston-airport-security,2,36,True,False
/houston/jobs/houston-armed-overnight-security,2,36,True,False
/houston/jobs/houston-bar-club-security,5,36,True,False
/houston/jobs/houston-construction-security,0,36,False,True
/houston/jobs/houston-corporate-security,5,38,True,False
/houston/jobs/houston-entry-level-security-jobs,3,38,True,False
/houston/jobs/houston-executive-protection,1,39,False,False
/houston/jobs/houston-festival-security,3,38,True,False
/houston/jobs/houston-high-value-asset-security,1,37,False,False
/houston/jobs/houston-hospital-security,0,38,False,True
/houston/jobs/houston-level-2-security,4,36,True,False
/houston/jobs/houston-level-3-security,5,35,True,False
/houston/jobs/houston-night-shift-security,0,37,False,True
/houston/jobs/houston-no-experience-security,1,39,False,False
/houston/jobs/houston-office-building-security,4,37,True,False
/houston/jobs/houston-part-time-security,2,38,True,False
/houston/jobs/houston-private-event-security,0,39,False,True
/houston/jobs/houston-residential-security,17,37,True,False
/houston/jobs/houston-retail-security,2,37,True,False
/houston/jobs/houston-school-security,5,38,True,False
/houston/jobs/houston-sporting-event-security,4,37,True,False
/houston/jobs/houston-surveillance-security,2,37,True,False
/houston/jobs/houston-theme-park-security,0,37,False,True
/houston/jobs/houston-university-security,3,36,True,False
/houston/jobs/houston-venue-security,9,38,True,False
/houston/jobs/houston-weekend-security-jobs,1,38,True,False
/houston/jobs/humble-security-jobs,63,35,True,False
/houston/jobs/industrial-security-houston,61,36,True,False
/houston/jobs/katy-security-jobs,65,36,True,False
/houston/jobs/league-city-security-jobs,63,36,True,False
/houston/jobs/loss-prevention-houston,63,35,True,False
/houston/jobs/medical-center-houston-security-jobs,63,35,True,False
/houston/jobs/midtown-houston-security-jobs,63,37,True,False
/houston/jobs/missouri-city-security-jobs,63,34,True,False
/houston/jobs/mobile-patrol-houston,62,36,True,False
/houston/jobs/montrose-houston-security-jobs,5,37,True,False
/houston/jobs/overnight-security-houston,66,35,True,False
/houston/jobs/pasadena-security-jobs,63,34,True,False
/houston/jobs/pearland-security-jobs,63,34,True,False
/houston/jobs/richmond-security-jobs,63,35,True,False
/houston/jobs/security-officer-jobs-houston,15,34,True,False
/houston/jobs/security-training-schools-houston,1,38,False,False
/houston/jobs/sugar-land-security-jobs,65,34,True,False
/houston/jobs/the-woodlands-security-jobs,65,35,True,False
/houston/jobs/tsa-airport-security-houston,63,35,True,False
/houston/jobs/unarmed-security-houston,64,34,True,False
/houston/jobs/warehouse-security-houston,8,36,True,False
/how-to-hire-security-houston,1,16,True,False
/job-board,15,15,True,False
/login,3,2,True,False
/register,1,3,True,False
/register-access,0,2,False,True
/san-antonio,221,23,True,False
/san-antonio/jobs/airport-security-san-antonio,23,24,True,False
/san-antonio/jobs/armed-security-san-antonio,27,24,True,False
/san-antonio/jobs/construction-security-san-antonio,25,25,True,False
/san-antonio/jobs/entry-level-security-san-antonio,4,27,True,False
/san-antonio/jobs/event-security-san-antonio,27,24,True,False
/san-antonio/jobs/full-time-security-san-antonio,5,24,True,False
/san-antonio/jobs/hospital-security-san-antonio,25,24,True,False
/san-antonio/jobs/hotel-security-san-antonio,25,24,True,False
/san-antonio/jobs/loss-prevention-san-antonio,27,24,True,False
/san-antonio/jobs/military-base-security-san-antonio,27,24,True,False
/san-antonio/jobs/mobile-patrol-san-antonio,25,24,True,False
